"year","y","iso2c","GOOG_Airport","GOOG_Currency","GOOG_Deportation","GOOG_Discrimination","GOOG_Economy","GOOG_Embassy","GOOG_Emigration","GOOG_Euro","GOOG_Exchange.rate","GOOG_Family.reunification","GOOG_Flight","GOOG_Gold","GOOG_Human.migration","GOOG_Human.trafficking","GOOG_Immigration","GOOG_IOM","GOOG_International.student","GOOG_Map","GOOG_Money","GOOG_Passport","GOOG_Pound.sterling","GOOG_Refugee","GOOG_Refugee.camp","GOOG_Remittance","GOOG_Right.of.asylum","GOOG_Smuggling","GOOG_Travel","GOOG_Travel.visa","GOOG_UNHCR","GOOG_United.States.Dollar","GOOG_Welfare","GOOG_Work.permit","USER_Pop"
2011,-1.57602574010335,"Worldwide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,-1.63091879356877,"Worldwide",-0.0574771756010953,-0.069086119089072,0.0745598278944499,-0.00655611081020024,-0.0732598080855031,-0.142034949745894,0.00377539397875593,0.0388812032113972,-0.108239418091971,-0.0758665084629764,-0.0742109910765161,-0.00645691193431341,-0.0463857243569095,0.033260031250324,-0.109864799438985,-0.0579771690132653,0.0165265701623395,-0.0917194545612307,0.0017679718900977,-0.0652632382346918,0.0668877241802348,-0.0179796285288574,-0.0126787261745276,0.015772644809978,0.166359839583921,0.19817827800397,-0.0878295176448905,-0.0281658653271634,-0.0791412991617966,0.011165814979869,0.0342481182583414,-0.00621609063018413,0.0856146701846223
2013,-1.57058545810642,"Worldwide",-0.0784009422911076,-0.117946224666708,0.262012104376019,-0.0164715807305322,-0.127317284524194,-0.269951978420605,-0.00886508174047851,0.047137252220586,-0.157890217556375,-0.146769441569547,-0.0515239926352671,0.0882406334443595,-0.0203507226784949,0.0932173418782223,-0.00980207808973843,-0.0745283578312623,0.0774628891401944,-0.0626732870379784,0.0749771946586466,-0.0926097604818852,0.24968363359957,0.0520770214056863,0.129786779013606,0.138350891369337,0.358800106768254,0.116093558424729,-0.141213680457628,-0.0029277453867772,-0.0409875758078341,0.174694671815427,0.00267651784427714,0,0.123924271741014
2014,-1.4822432726806,"Worldwide",-0.0859811004748239,-0.039332272215019,0.344021177495569,0.0258028892939175,-0.105946340525029,-0.335841545292557,0.0467996544900124,0.120055842172141,-0.133750004440368,-0.105334880876554,0.0504468198423802,-0.0129557866772532,0.0370760670606249,0.156231354973805,-0.0296992725050013,-0.122702738821844,0.151743423531486,0.0913077287237218,0.143190496095913,0.00786637579568283,0.383174607213679,0.380689336916472,0.17662193584442,0.150581215652811,0.385666936137324,0.0834872900176727,-0.141213680457628,0.0732598080855029,0.0674247392168958,0.327416568156825,0.0368346387629901,0.0793878558659815,0.179867491823058
2015,-1.51877752909384,"Worldwide",-0.0814261140077053,0.0562415725904265,0.238427341583425,0.0754932949525315,-0.0939363480916623,-0.364864339084583,0.150700832659131,0.330237377408075,0.0491941390225246,0.0615154219901952,0.0915512145811733,0.044067387595256,0.359852806183903,0.149782216150466,-0.0431874726792125,-0.0760466843201476,0.164782654290163,0.0167885280680282,0.221329903118136,0.0642304752125971,0.600586399761646,1.76588713990029,0.738066263567758,0.183463183323647,0.479578384218373,0.187034307893201,-0.114733350778338,0.11711366331416,0.28497296141458,0.64389654659088,0.0185869086210415,0.109458527222439,0.250121152400381
2016,-1.46747307097892,"Worldwide",-0.0471772110837215,-0.00446017806977994,0.38835674785115,0.0964797948849836,-0.1319568029141,-0.522498755648641,0.0995285335837309,0.212008211920513,-0.0777096868599112,0.161233785049985,0.169014103721368,0.0862745284501973,0.216514050115509,0.123561521523328,-0.0364206313215034,-0.0242308254660258,0.145759824625167,-0.207305412046303,0.269774237237975,0.026496983597861,0.852482436585834,1.5639423862555,0.671668363419873,0.200953281122809,0.52835869816051,0.15025706584208,-0.152949251468079,0.131314413172887,0.29288915487086,0.664328055285036,-0.0955460566776913,0.048384830284857,0.33708380414953
2017,-1.4440129342648,"Worldwide",0.135602920331774,-0.121290038388895,0.458851883660258,0.0920196168152037,-0.472081535116887,-0.626197051423285,-0.0584111413574646,-3.86837799805088,-0.188908791375937,0.330897570324624,0.23731103920634,0.00214307227021948,-3.48938152137507,0.356539657469428,0.113598050581875,0.111800613490281,-0.321520418268833,-0.237153919533171,0.397696239095597,0.18544404596577,0.708387401392889,1.19889937174219,0.443750712158299,0.132179175179919,0.678956976383401,0.296604498088658,-0.0692012916627789,0.138976111700295,0.355541396745544,0.521724914224026,-0.564747931453144,0.038495900364845,0.393669487494258
2018,-1.33961293158225,"Worldwide",0.175052466867217,0.112143369930563,0.285053418627974,0.132894059596453,-0.509811810474239,-0.366267611746166,-0.24767541931006,-3.86837799805088,0.261647100125846,0.316991461261642,0.322408095455336,0.111537229822861,-3.33664626995115,0.397769860779415,0.115048124789737,0.176408391283602,-0.338908128844577,-0.269223572176425,0.504705575412682,0.20750510001583,0.718554912558504,0.950068731132566,0.362386804427391,0.230843639332608,0.70268056392591,0.343473432080196,-0.0382033201833858,0.172745359300308,0.278594575202593,0.96412870352178,-0.555363478196892,0.221440043827738,0.459165485861665
2019,-1.44724873044263,"Worldwide",0.210745049348169,0.0534330553256004,0.287581098048706,0.0994422333591415,-0.171480141218833,-0.287967701421693,-0.124722785349629,-3.86837799805088,0.19381229308102,0.308554016673958,0.460185685538426,0.291899545867919,-2.06981837198837,0.47077366186931,0.0460676734258698,0.115571262235219,-0.200787966744709,-0.225856066440216,0.490721138910872,0.199774298229227,0.772700219176104,0.735706794978741,0.286505502856434,0.246151054642105,0.733906798441122,0.369745933701119,0.0416677345202139,0.245084325170461,0.212467898296904,1.00605301884682,-0.156332876124922,0.371771519717742,0.556936874058605
2020,-2.34186083298547,"Worldwide",-0.412387296471773,0.032113922658154,-0.0204005443004911,0.261564704936915,-0.0345519569835744,-0.306313954540864,-0.0584111413574646,-3.86837799805088,0.0590769444561162,0.206032675990667,0.0817830589899972,0.634478295433606,0.769339430116408,0.600448948140265,-0.115323129645925,-0.129091312265616,0.071016411076919,-0.328291631531695,0.559777560968211,-0.272466931916971,0.621239756773424,0.538105155634008,0.347664201770689,0.413604483366724,0.439124062106148,0.313204777476025,-0.158869090687924,-0.313285271204692,0.119397483434256,1.14032317612632,0.121017744974825,0.329590809971808,0.657237120729533
